ID,物种名称,是否是致病菌,样本量,患者性别,年龄,免疫状态,肺部基础疾病,证据等级,预后,id,sup_evi,old_start,answer,full
1520762,Vibrio vulnificus,是,10-100,群体,65以上,,其他,,死亡,https://pubmed.ncbi.nlm.nih.gov/1520762/, The ages of patients ranged from 19 to 76 years;,339.0,19 to 76 years,"SPECIES:Vibrio vulnificus
ID:1520762
TITLE:Vibrio vulnificus infection in Taiwan: report of 28 cases and review of clinical manifestations and treatment.
ABSTRACT:From May 1985 through July 1990, 28 episodes of Vibrio vulnificus infection in 27 patients were encountered in five major hospitals in Taiwan. The ages of patients ranged from 19 to 76 years; the ratio of male to female patients was 2:1. Eighteen episodes manifested as bacteremia and eight as wound infections alone. One patient each developed gastroenteritis and pneumonia after nearly drowning. Twenty-three patients exhibited skin manifestations. Twenty patients had underlying diseases. All patients were treated with antibiotics, and 14 also underwent some form of surgical treatment (incision and drainage, fasciotomy, debridement, or amputation). Thirteen of the 28 episodes were preceded by precipitating factors; most were due to ingestion of seafood or exposure of abraded skin to salt water. Ten of the 18 septicemic patients died--most within 48 hours of hospitalization. One patient without bacteremia who had a wound infection died. Results of in vitro susceptibility studies suggested that ampicillin or a third-generation cephalosporin would be effective. Susceptibility to aminoglycosides was observed for greater than 90% of isolates. We recommend combined therapy with a third-generation cephalosporin or ampicillin and an aminoglycoside along with appropriate surgical therapy for the treatment of V. vulnificus infection.
物种:创伤弧菌
ID: 1520762
题目:台湾创伤弧菌感染28例报告及临床表现及治疗回顾。
摘要:1985年5月至1990年7月，台湾省五所主要医院共发生创伤弧菌感染27例，共28例。患者年龄19 ~ 76岁;男女之比为2:1。18例为菌血症，8例仅为伤口感染。各有一名病人在接近溺水后出现肠胃炎和肺炎。23例患者出现皮肤表现。有基础疾病者20例。所有患者均接受抗生素治疗，14例也接受了某种形式的手术治疗(切口引流、筋膜切开术、清创或截肢)。在28起事件中，有13起事件之前有诱发因素;其中大部分是由于食用海鲜或皮肤被海水擦伤造成的。18名败血症患者中有10人死亡——大多数在住院48小时内死亡。一名没有菌血症但有伤口感染的病人死亡。体外药敏试验结果表明，氨苄西林或第三代头孢菌素是有效的。观察到超过90%的分离株对氨基糖苷类药物敏感。对于创伤弧菌感染，我们建议联合使用第三代头孢菌素或氨苄西林和氨基糖苷类药物，同时辅以适当的手术治疗。"
1520767,Capnocytophaga canimorsus,是,1,男,65以上,,其他,3：血及无菌体液（如脓胸液）,治愈,https://pubmed.ncbi.nlm.nih.gov/1520767/,An 80-year-old man with Waldenstrom',143.0,80-year-old,"SPECIES:Capnocytophaga canimorsus
ID:1520767
TITLE:Pleural infection caused by Capnocytophaga canimorsus, formerly CDC group DF-2.
ABSTRACT:An 80-year-old man with Waldenstrom's macroglobulinemia developed pneumonia and empyema due to Capnocytophaga canimorsus (formerly CDC group DF-2). No growth was detected in blood cultures, but the organism was identified from cultures of pleural fluid. The infection responded well to antibiotics and drainage via a chest tube. To our knowledge, this is the first report of a clinical isolate of C. canimorsus from a pulmonary source. The absence of concurrent bacteremia raises the possibility that the lower respiratory tract can be the site of primary infection with this organism.
物种:Capnocytophaga canimorsus
ID: 1520767
题目:canimorsus Capnocytophaga致胸膜感染，原CDC组DF-2。
摘要:1例80岁男性Waldenstrom巨球蛋白血症，因嗜碳酸细胞吞噬菌(原CDC组DF-2)引起肺炎和脓胸。血培养中未发现生长，但胸膜液培养中发现了这种微生物。抗生素和胸腔引流对感染反应良好。据我们所知，这是首个从肺源分离出的犬齿锥虫临床分离株的报道。由于没有并发菌血症，下呼吸道可能是这种微生物的原发感染部位。"
1562655,Providencia stuartii was the most common gram-negative species,是,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/1562655/,,,,"SPECIES:Providencia stuartii
ID:1562655
TITLE:Bacteremia in a long-term-care facility: a five-year prospective study of 163 consecutive episodes.
ABSTRACT:The clinical features, microbiological characteristics, and outcomes of 163 episodes of bacteremia occurring at a long-term-care facility were evaluated. The rate of nosocomial bacteremia increased from 0.20 to 0.36 cases/1,000 patient-days from 1985 to 1989; there was a parallel increase in the rate of all nosocomial infections combined. Bacteremia was documented in 6.5% of all hospital-acquired infections. The majority of isolates were gram-negative, and Providencia stuartii was the most common gram-negative species. Staphylococcus aureus was the most frequent isolate; one-third of S. aureus strains were resistant to methicillin. Bacteremia was polymicrobial in 36 episodes (22%), 14 of which involved an enterococcal species. Portals of entry included the urinary tract (55%), the respiratory tract (11%), and soft tissue (9%). Overall mortality was 21.5%. Death was significantly associated with residence on the intermediate-care unit, the presence of a respiratory infection, a change in mental status, and relatively recent admission. Optimal management of bacterial infection in a long-term-care setting requires the availability of blood culture results. Initial decisions about antibiotic therapy should be made in light of the likelihood of infection with multiresistant organisms and of polymicrobial infection.
物种:Providencia stuartii
ID: 1562655
标题:长期护理机构中的菌血症:一项连续163例病例的5年前瞻性研究。
摘要:对163例发生在长期护理机构的菌血症患者的临床特征、微生物学特征和预后进行了评估。从1985年到1989年，医院内菌血症发生率从0.20例/千例天增加到0.36例/千例天;同时，所有医院感染的发生率也在增加。6.5%的医院获得性感染有菌血症的记录。大多数分离株为革兰氏阴性，其中最常见的革兰氏阴性菌为stuartii。金黄色葡萄球菌是最常见的分离株;三分之一的金黄色葡萄球菌菌株对甲氧西林耐药。菌血症是多微生物的36例(22%)，其中14例涉及一种肠球菌。进入通道包括尿路(55%)、呼吸道(11%)和软组织(9%)。总死亡率为21.5%。死亡与在中级护理病房的居住、呼吸道感染的存在、精神状态的变化和相对最近的入院有显著相关。在长期护理环境下细菌感染的最佳管理需要血液培养结果的可用性。关于抗生素治疗的最初决定应根据感染多耐药微生物和多菌感染的可能性作出。"
1562677,Pseudomonas stutzeri,是,1-10,,17-65,,,4：气管镜活检组织培养出病原体，或者支气管肺泡灌洗液（BALF）定量培养>10**4,,https://pubmed.ncbi.nlm.nih.gov/1562677/,,,,"SPECIES:Pseudomonas stutzeri
ID:1562677
TITLE:Community-acquired pneumonia due to Pseudomonas stutzeri.
ABSTRACT:
物种:假单胞菌stutzeri
ID: 1562677
标题:stutzeri假单胞菌引起的社区获得性肺炎。
文摘:"
1588272,Comamonas terrigena,是,10-100,,,受损,,3：血及无菌体液（如脓胸液）,,https://pubmed.ncbi.nlm.nih.gov/1588272/,,,,"SPECIES:Comamonas terrigena
ID:1588272
TITLE:Pseudomonas infections in patients with AIDS and AIDS-related complex.
ABSTRACT:We identified and reviewed retrospectively all the cases of infection by Pseudomonas and related genera in patients with AIDS and AIDS-related complex (ARC) who were hospitalized at our Institution over a 36-month period. We recorded 48 episodes of infection in 34 of 355 patients with AIDS, and in two of 73 patients with ARC: 25 pneumonias (9 community-acquired and 16 of nosocomial origin). 20 urinary tract infections, two soft tissue infections and one sepsis. In 14 of 16 patients with nosocomial pneumonia but in only one of nine patients with community-acquired pneumonia did we find coexisting opportunistic lung diseases. The following micro-organisms were isolated: P. aeruginosa in 41 cases, P. fluorescens in three cases, Xanthomonas maltophilia (P. maltophilia) in two cases, P. putida in one case. Comamonas testosteronis (P. testosteronis) and Comamonas acidovorans (P. acidovorans) in one case. Amikacin and ceftazidime, alone or in combination, appear to be the optimal choice of therapy for severe Pseudomonas infections in HIV-infected patients, although in our study six of 47 isolates were resistant in vitro to amikacin, and nine of 31 isolates were resistant to ceftazidime.
物种:Comamonas terrigena
ID: 1588272
标题:假单胞菌感染在艾滋病患者和艾滋病相关复合体。
摘要:我们对我院收治的36个月以上的艾滋病及艾滋病相关疾病(ARC)患者中假单胞菌及其相关属的感染病例进行了回顾性分析。我们记录了355例艾滋病患者中34例发生48次感染，73例ARC患者中2例发生感染:25例肺炎(9例社区获得性，16例医院源性)。20例尿路感染，2例软组织感染，1例败血症。在16例医院性肺炎患者中有14例，但在9例社区获得性肺炎患者中只有1例同时存在机会性肺部疾病。分离到铜绿假单胞菌41例，荧光假单胞菌3例，嗜麦芽黄单胞菌2例，嗜麦芽假单胞菌1例。雄性雄性Comamonas睾酮(P.睾酮)和酸ovorans (P. acidovorans)在一个病例。阿米卡星和头孢他啶，单独或联合使用，似乎是治疗hiv感染患者严重假单胞菌感染的最佳选择，尽管在我们的研究中，47株分离株中有6株对阿米卡星有体外耐药性，31株分离株中有9株对头孢他啶有耐药性。"
1624578,Legionella maceacherni,是,1,男,17-65,抑制,,1：同时具备肺组织病理+病原学证据,死亡,https://pubmed.ncbi.nlm.nih.gov/1624578/,,,,"SPECIES:Legionella maceachernii
ID:1624578
TITLE:Fatal Legionella maceachernii pneumonia in Canada.
ABSTRACT:A case of pneumonia and acute tubular necrosis was caused by an initially unknown species of Legionella. The organism was later identified as Legionella maceachernii by a combination of cultural, biochemical, and serological methods along with a gas-liquid chromatographic profile.
军团菌的物种:maceachernii
ID: 1624578
标题:加拿大致命的maceachernii肺炎。
摘要:1例肺炎和急性肾小管坏死是由一种最初未知的军团菌引起的。该生物后来被鉴定为maceachernii军团菌，结合培养、生化、血清学和气-液相色谱分析方法。"
1921795,Legionella maceachernii,是,1,,65以上,受损,其他,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,死亡,https://pubmed.ncbi.nlm.nih.gov/1921795/, CLINICAL FEATURES: A 71-year-,316.0,71-year-old,"SPECIES:Legionella maceachernii
ID:1921795
TITLE:Isolation of Legionella maceachernii from an immunocompromised patient with severe underlying lung disease.
ABSTRACT:
OBJECTIVE: To present the first case in Australia in which Legionella maceachernii has been documented as a cause of infection. CLINICAL FEATURES: A 71-year-old retired carpenter with underlying autoimmune disease and pulmonary fibrosis was admitted to hospital with increasing shortness of breath and fever, and pneumonia was diagnosed. INTERVENTION AND OUTCOME: He was treated with ampicillin then gentamicin and flucloxacillin and later imipenem but his condition deteriorated with progression of the pneumonia and abscess formation and he died 25 days after admission. Subsequently, L. maceachernii was isolated from three sputum samples collected before the patient died. 
CONCLUSION: There is a need for clinical awareness of the value of sputum culture in the diagnosis of infection due to Legionella spp. other than L. pneumophila.
军团菌的物种:maceachernii
ID: 1921795
标题:maceachernii军团菌从患有严重潜在肺部疾病的免疫低下患者中分离。
文摘:
目的:介绍澳大利亚第一例马氏军团菌被记录为感染原因的病例。临床特征:71岁退休木匠，有自身免疫性疾病和肺纤维化入院，呼吸短促和发热增加，诊断为肺炎。干预及结果:患者先后接受氨苄西林、庆大霉素、氟氯西林、亚胺培南治疗，病情恶化，肺炎、脓肿形成进展，入院后25天死亡。随后，从患者死亡前收集的3份痰液样本中分离出马卡氏乳杆菌。
结论:临床应重视痰培养在军团菌感染诊断中的价值，而非嗜肺L.感染。"
1997461,Vibrio vulnificus,是,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/1997461/,,,,"SPECIES:Vibrio vulnificus
ID:1997461
TITLE:Pulmonary infiltrates associated with Vibrio vulnificus septicemia.
ABSTRACT:In the case described, fatal Vibrio vulnificus primary septicemia was complicated by development of diffuse pulmonary infiltrates. Clinical features of this recently discovered infectious disease are discussed. Various aspects of diagnoses of pulmonary infiltrates in patients with V vulnificus septicemia are also presented. Vibriosis should be suspected in patients with chronic, underlying, predisposing diseases, recent ingestion of raw seafood, and characteristic skin lesions.
物种:创伤弧菌
ID: 1997461
题目:创伤弧菌败血症致肺部浸润。
摘要:在本病例中，致死性创伤弧菌原发败血症并发弥漫性肺浸润。本文讨论了这一新近发现的传染病的临床特点。肺部浸润的诊断的不同方面的病人创伤V败血症也提出。患有慢性、基础性、易感疾病、近期食用生海鲜和特征性皮肤病变的患者应怀疑有弧菌病。"
2218242,Hafnia alvei,是,1-10,,,,其他,,治愈,https://pubmed.ncbi.nlm.nih.gov/2218242/,,,,"SPECIES:Hafnia alvei
ID:2218242
TITLE:[Typical nosocomial infection with an unusual cause: Hafnia alvei. Report of 2 cases and literature review].
ABSTRACT:The route of infection and the course of two typical nosocomial infections are described in two patients infected with a rare gram-negative bacterium. Both patients underwent cardiovascular surgery. They were placed close to each other in the intensive care unit for several days and suffered from pneumonia and from wound infection respectively. In both patients bacterial culture grew Hafnia alvei. Successful antibiotic treatment was achieved with Netilmicin and Imipenem. Urinary tract, respiratory tract and wound infections are the most frequent nosocomial infections according to the literature. Risk factors are duration of stay in the intensive care unit, shock, poor general condition and advanced age.
物种:二氧化铪alvei
ID: 2218242
标题:[典型的医院感染与不寻常的原因:哈夫尼亚肺泡。报告2例并文献复习。
摘要:本文描述了2例感染罕见革兰氏阴性菌的患者的感染途径和两种典型医院感染的病程。这两名患者都接受了心血管手术。他们被紧挨着安置在重症监护室好几天，分别患了肺炎和伤口感染。在这两例患者中，细菌培养都产生了哈弗尼亚肺泡。奈替米星和亚胺培南的抗生素治疗取得了成功。据文献记载，泌尿道、呼吸道和伤口感染是最常见的医院感染。危险因素有重症监护病房的住院时间、休克、身体状况差和年龄大。"
2298876,Legionella tucsonensis,是,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/2298876/,,,,"SPECIES:Legionella tucsonensis
ID:2298876
TITLE:Pulmonary Legionella tucsonensis infection.
ABSTRACT:
军团菌的物种:tucsonensis
ID: 2298876
标题:图森军团菌肺部感染。
文摘:"
