ID,物种名称,是否是致病菌,样本量,患者性别,年龄,免疫状态,肺部基础疾病,证据等级,预后,id,Full
6772542,Rickettsia rickettsii,是,1-10,,,,,yes,,https://pubmed.ncbi.nlm.nih.gov/6772542/,"SPECIES:Rickettsia rickettsii
ID:6772542
TITLE:Rickettsial infection of the pulmonary microcirculation: the basis for interstitial pneumonitis in Rocky Mountain spotted fever.
ABSTRACT:Pulmonary tissue from 10 patients with fatal Rocky Mountain spotted fever was examined by brightfield microscopy for histopathologic lesions and by immunofluorescence for Rickettsia rickettsii. The distribution of rickettsiae and the vasculitis of the pulmonary microcirculation coincided. The lungs demonstrated the consequent interstitial pneumonia--alveolar septal congestion and interstitial edema; alveolar edema, fibrin, macrophages, and hemorrhage; and interlobular septal edema. The effects of the rickettsial damage to the pulmonary microcirculation are an important component of the pathophysiology of severe Rocky Mountain spotted fever. The distribution of rickettsial organisms within the lung indicates that person to person aerosol transmission is extremely unlikely."
11757511,Ehrlichia ewingii,是,1,男,65以上,,,no,,https://pubmed.ncbi.nlm.nih.gov/11757511/,"SPECIES:Ehrlichia species
ID:11757511
TITLE:Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 37-2001. A 76-year-old man with fever, dyspnea, pulmonary infiltrates, pleural effusions, and confusion.
ABSTRACT:"
12373493,Rickettsia japonica,是,1,男,65以上,,,no,,https://pubmed.ncbi.nlm.nih.gov/12373493/,"SPECIES:Rickettsia japonica
ID:12373493
TITLE:Fulminant Japanese spotted fever definitively diagnosed by the polymerase chain reaction method.
ABSTRACT:A 72-year-old man was admitted to the emergency ward in our hospital on July 20, 2001, because of consciousness disturbance, fever, generalized skin eruption, and severe general weakness beginning 7 days previously. Physical examination on admission revealed marked systemic cyanosis, erythema, and purpura. Laboratory findings indicated disseminated intravascular coagulation (DIC) and multiorgan failure (platelet count, 0.9 x 10(4)/micro l; fibrin degradation product, 110 micro g/ml; C-reactive protein, 22.6 mg/dl). Soluble interleukin 2-receptor (sIL-2R) was markedly increased to 14 710 U/ml. Blood gas analysis demonstrated severe metabolic acidosis. He was diagnosed with multiorgan failure due to DIC. Administration of heparin and sodium bicarbonate was started immediately, but respiratory failure was exacerbated and systemic spasm caused by encephalitis was noted. Although he was supported by an artificial ventilator, deterioration of metabolic acidosis occurred, and the blood pressure decreased to less than 60 mm Hg. He died 5.5 h after admission. The serological test showed no positive antibody titers against Orientia tsutsugamushi, Rickettsia japonica, or Rickettsia typhi. However, a specific DNA band derived from R. japonica was detected by the polymerase chain reaction (PCR) method using a primer from a blood clot. Therefore, he was definitively diagnosed as having Japanese spotted fever. The PCR method may be markedly useful for establishing a definitive diagnosis of Japanese spotted fever during the critical stage."
23903543,Rickettsia prowazekii,是,＞100,,,正常,其他,no,,https://pubmed.ncbi.nlm.nih.gov/23903543/,"SPECIES:Rickettsia prowazekii
ID:23903543
TITLE:Reverse transcription-PCR-electrospray ionization mass spectrometry for rapid detection of biothreat and common respiratory pathogens.
ABSTRACT:Electrospray ionization mass spectrometry (ESI-MS) analysis of reverse transcription (RT)-PCR amplicons from human respiratory samples allows for broad pathogen identification approximately 8 h after collection. We investigated the performance characteristics of a high-throughput RT-PCR-coupled ESI-MS assay for distinguishing biothreat (BT) agents from common bacterial, fungal, and viral respiratory pathogens in bronchoalveolar lavage (BAL) fluid specimens from subjects with suspected respiratory infections. In a retrospective case series, 202 BAL fluid specimens were collected at the Johns Hopkins Hospital between August 2010 and February 2011 from patients with suspected acute respiratory infections. Samples were processed using standard bacterial, viral, and fungal testing in the clinical microbiology laboratory as part of routine care and then were blindly spiked with either water or nucleic acids from BT organisms (Bacillus anthracis, Yersinia pestis, Francisella tularensis, Brucella spp., Burkholderia spp., and Rickettsia prowazekii) and tested by RT-PCR-ESI-MS. The sensitivities and specificities of RT-PCR-ESI-MS versus standard clinical methods were as follows: for mock BT DNA, 98.5% sensitivity (95% confidence interval [CI], 94.2 to 99.7%) and 100% specificity (95% CI, 93.1 to 100.0%); for bacterial pathogens, 81.8% sensitivity (95% CI, 74.3 to 87.6%) and 73.6% specificity (95% CI, 64.2 to 81.4%); for viral pathogens, 93.3% sensitivity (95% CI, 66.0 to 99.7%) and 97.3% specificity (95% CI, 89.7 to 99.5%); for fungal pathogens, 42.6% sensitivity (95% CI, 29.5 to 56.7%) and 97.8% specificity (95% CI, 91.8 to 99.6%). Our data suggest that RT-PCR-ESI-MS is a useful adjunct to standard culture protocols for rapid detection of both BT and common respiratory pathogens; further study is required for assay validation, especially for fungal detection, and potential implementation. "
27446530,Chlamydia abortus,是,1,男,17-65,正常,,no,,https://pubmed.ncbi.nlm.nih.gov/27446530/,"SPECIES:Chlamydia abortus
ID:27446530
TITLE:Isolation of Chlamydia abortus from a laboratory worker diagnosed with atypical pneumonia.
ABSTRACT:
BACKGROUND: Identifying the aetiological agent of atypical pneumonia in human can sometimes be a tedious process, especially in cases where Mycoplasma pneumoniae, Legionella species and Chlamydia pneumoniae are ruled out. In such cases, a correct anamnesis of the patient is basic to clarify which pathogens might have produced the infection. For this reason, health professionals including veterinarians and laboratory personnel working with zoonotic pathogens should keep their doctors informed. CASE PRESENTATION: A human case of atypical pneumonia linked to Chlamydia abortus is reported. A 47-year-old male, a veterinarian researcher into chlamydiae, developed respiratory symptoms, breathing problems and high fever. Serological analyses ruled out the involvement of several respiratory pathogens, such as M. pneumoniae, Legionella pneumophila, Rickettsia conorii and C. pneumoniae, and Chlamydia abortus was identified as the possible aetiological agent of the infection. The isolation of C. abortus from the patient's sputum and subsequent molecular analysis confirmed the presence of this microorganism. 
CONCLUSION: As far as we know, although C. abortus has not been previously described as capable of causing pneumonia in humans, this is the first reported case of atypical pneumonia in which C. abortus is thought to have played an aetiological role."
27758794,Ehrlichia chaffeensis,是,1,女,65以上,正常,,no,,https://pubmed.ncbi.nlm.nih.gov/27758794/,"SPECIES:Ehrlichia species
ID:27758794
TITLE:Severe human monocytic ehrlichiosis presenting with altered mental status and seizures.
ABSTRACT:A previously healthy 66-year-old woman living in the Mid-Atlantic USA presented to the hospital with lethargy, ataxia and slurred speech. 2 weeks prior she had removed a tick from her right groin. She reported malaise, fevers, diarrhoea, cough and a rash. Physical examination revealed a maculopapular rash on her chest, and lung auscultation revealed bi-basilar rales. Laboratory tests were remarkable for hyponatraemia, leucopenia and thrombocytopenia. Chest X-ray demonstrated bilateral pleural effusions with pulmonary oedema. She was treated with ceftriaxone and azithromycin for possible community-acquired pneumonia but declining mental status necessitated intensive care unit transfer. Vancomycin and doxycycline were added. Her course was complicated by seizures requiring antiepileptic therapy. Peripheral blood smear demonstrated morulae in monocytes. Serum Ehrlichia chaffeensis DNA was positive confirming the diagnosis of human monocytic ehrlichiosis. She recovered without residual neurological deficits after 10 days of doxycycline therapy."
28500797,Rickettsia prowazekii,是,10-100,群体,17-65,,,no,死亡,https://pubmed.ncbi.nlm.nih.gov/28500797/,"SPECIES:Rickettsia prowazekii
ID:28500797
TITLE:Fatal Flea-Borne Typhus in Texas: A Retrospective Case Series, 1985-2015.
ABSTRACT:AbstractFlea-borne (murine) typhus is a global rickettsiosis caused by Rickettsia typhi. Although flea-borne typhus is no longer nationally notifiable, cases are reported for surveillance purposes in a few U.S. states. The infection is typically self-limiting, but may be severe or life-threatening in some patients. We performed a retrospective review of confirmed or probable cases of fatal flea-borne typhus reported to the Texas Department of State Health Services during 1985-2015. When available, medical charts were also examined. Eleven cases of fatal flea-borne typhus were identified. The median patient age was 62 years (range, 36-84 years) and 8 (73%) were male. Patients presented most commonly with fever (100%), nausea and vomiting (55%), and rash (55%). Respiratory (55%) and neurologic (45%) manifestations were also identified frequently. Laboratory abnormalities included thrombocytopenia (82%) and elevated hepatic transaminases (63%). Flea or animal contact before illness onset was frequently reported (55%). The median time from hospitalization to administration of a tetracycline-class drug was 4 days (range, 0-5 days). The median time from symptom onset to death was 14 days (range, 1-34 days). Flea-borne typhus can be a life-threatening disease if not treated in a timely manner with appropriate tetracycline-class antibiotics. Flea-borne typhus should be considered in febrile patients with animal or flea exposure and respiratory or neurologic symptoms of unknown etiology."
29985760,Chlamydia caviae,是,1,,,,,no,,https://pubmed.ncbi.nlm.nih.gov/29985760/,"SPECIES:Chlamydia caviae
ID:29985760
TITLE:Chlamydia caviae Causing Community-Acquired Pneumonia: An Emerging Zoonosis.
ABSTRACT:We describe a case of community-acquired pneumonia due to Chlamydia caviae in a patient with no direct animal exposure, raising questions about the zoonotic reservoirs and potential transmission routes. Genotyping of Chamydia isolates that cause pneumonia should be performed for a precise diagnosis and to initiate adequate infection control measures."
30425837,Ehrlichia chaffeensis,是,1,男,17-65,正常,,no,治愈,https://pubmed.ncbi.nlm.nih.gov/30425837/,"SPECIES:Ehrlichia chaffeensis
ID:30425837
TITLE:Ehrlichiosis presenting as severe sepsis and meningoencephalitis in an immunocompetent adult.
ABSTRACT:Introduction: Ehrlichia are obligate intracellular pathogens transmitted to vertebrates by ticks. Case presentation: We report the case of a 59-year-old man who presented to the University of Kentucky Albert B. Chandler Medical Center (Lexington, KY, USA) after being found fallen down in the woods. A lumbar puncture revealed what appeared to be bacterial meningitis, yet cerebrospinal fluid cultures, Gram stains and a meningitis/encephalitis panel were inconclusive. However, an Ehrlichia DNA PCR of the blood resulted as being positive for Ehrlichia chaffeensis antibodies. The patient received a 14 day course of doxycycline, and recovered from his multiple organ failure. The aetiology of the ehrlichial meningoencephalitis was likely transmission through a tick-bite, due to the patient's outdoor exposure. Conclusion: While it is rare to see Ehrlichia as a cause of meningitis, this illness can progress to severe multisystem disease with septic shock, meningoencephalitis or acute respiratory distress syndrome (ARDS). Those with compromised immunity are at a higher risk of developing the more severe form of the disease and have higher case fatality rates."
31900105,Mycoplasma penetrans,是,1,女,17-65,抑制,其他,no,,https://pubmed.ncbi.nlm.nih.gov/31900105/,"SPECIES:Mycoplasma penetrans
ID:31900105
TITLE:Mycoplasma penetrans bacteremia in an immunocompromised patient detected by metagenomic sequencing: a case report.
ABSTRACT:
BACKGROUND: Mycoplasma sp. are well recognized as etiological agents of respiratory and sexually transmitted disease. Mycoplasma penetrans, a species of Mycoplasma sp., has been frequently detected in HIV-positive patients and associated with the progression of HIV-associated disease. To date, there is only a single case report describing M. penetrans as the causative agent of a severe respiratory tract infection in a HIV-negative patient. CASE PRESENTATION: In this report, we describe the case of M. penetrans bacteremia in a HIV-negative, 38-year-old, female, immunocompromised, solid organ transplant patient (combined kidney and pancreas transplantation in 2016), who was admitted to our hospital with anemic uterine bleeding and fever of 38.3  C. Several hours before her admission at our university hospital, a latex bladder catheter was inserted into her uterus and she complained about fatigue, dizziness and ongoing vaginal bleeding. Laboratory examination showed severe anemia, but microbiological examination was inconspicuous (culture negative vaginal and cervical smears, negative urine culture). Bacterial blood cultures showed a growth signal after 4 h, but microscopic examination with Gram staining and subcultures on different agar media did not identify bacterial pathogens. To identify the bacterial cause of malignancy in the patient, metagenomic sequencing of the blood culture was performed that identified M. penetrans. 
CONCLUSION: Metagenomic sequencing identified M. penetrans in an immunosuppressed patient with culture-negative bacteremia. Clinicians should be aware of the opportunistic potential of M. penetrans that may cause severe infections in certain vulnerable patient populations and the limitations of culture and Gram staining for confirming the presence of fastidious bacterial pathogens like Mycoplasma spp."
