ID,物种名称,是否是致病菌,样本量,患者性别,年龄,免疫状态,肺部基础疾病,证据等级,预后,id,sup_evi,old_start,answer,full
22700551,a novel variant of Mycobacterium chimaera,是,1-10,,,,,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,,https://pubmed.ncbi.nlm.nih.gov/22700551/,,,,"SPECIES:Mycobacterium marseillense
ID:22700551
TITLE:Characterization of a novel variant of Mycobacterium chimaera.
ABSTRACT:In this study, nonchromogenic mycobacteria were isolated from pulmonary samples of three patients in the Netherlands. All isolates had identical, unique 16S rRNA gene and 16S-23S ITS sequences, which were closely related to those of Mycobacterium chimaera and Mycobacterium marseillense. The biochemical features of the isolates differed slightly from those of M. chimaera, suggesting that the isolates may represent a possible separate species within the Mycobacterium avium complex (MAC). However, the cell-wall mycolic acid pattern, analysed by HPLC, and the partial sequences of the hsp65 and rpoB genes were identical to those of M. chimaera. We concluded that the isolates represent a novel variant of M. chimaera. The results of this analysis have led us to question the currently used methods of species definition for members of the genus Mycobacterium, which are based largely on 16S rRNA or rpoB gene sequencing. Definitions based on a single genetic target are likely to be insufficient. Genetic divergence, especially in the MAC, yields strains that cannot be confidently assigned to a specific species based on the analysis of a single genetic target."
12784178,Actinomadura madurae,是,1,,17-65,受损,,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,治愈,https://pubmed.ncbi.nlm.nih.gov/12784178/, All patients shared impaired immunity (,999.0,impaired immunity,"SPECIES:Actinomadura madurae
ID:12784178
TITLE:[Unusual gram positive rods, causing pneumonia].
ABSTRACT:In the last decade, a growing number of patients with pneumonia, caused by unusual gram positive rods have been observed. Mostly, the patients had been infected as a consequence of impaired immunity. In some cases, bioterrorist activities may also induce pneumonia by gram positive rods (B. anthracis). In order to bring these organisms to the attention of the medical community, we present three clinical cases and describe six species of gram positive rods, known to provoke this kind of pneumonias. Case 1 was a 84 years old patient with impaired lung function. He was suspicious of tuberculosis (Tbc). Nocardia spec. was isolated. Case 2 was an alcoholic of 46 years with pneumonia. Reactivation of Tbc was suspected. Actinomadura madurae has been isolated. Case 3 was a patient of 58 years with myelodysplastic syndrome (MDS) and pneumonia. N. asteroides was isolated. All patients shared impaired immunity (age, alcoholism, MDS) with impaired lung functions; Tbc had been suspected (Case 1 + 2). Infection by A. madurae was contained by Clindamycin. Therapy of Nocardia with Moxifloxacin (Case 1) or Bactrim (Case 3) was only partly effective. In the appendix, six species of gram positive rods which are known to cause pneumonia, are summarized (Nocardia, Actinomyceta, Actinomadura, Rhodococcus, Corynebacterium and Bacillus)."
28595598,Actinomadura madurae,是,＞100,,,,,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,,https://pubmed.ncbi.nlm.nih.gov/28595598/,,,,"SPECIES:Streptomyces griseus
ID:28595598
TITLE:Isolation, biochemical and molecular identification of Nocardia species among TB suspects in northeastern, Tanzania; a forgotten or neglected threat?
ABSTRACT:
BACKGROUND: Pulmonary nocardiosis mimic pulmonary tuberculosis in most clinical and radiological manifestations. In Tanzania, where tuberculosis is one of the major public health threat clinical impact of nocardiosis as the cause of the human disease remains unknown. The objective of the present study was to isolate and identify Nocardia isolates recovered from TB suspects in Northeastern, Tanzania by using biochemical and molecular methods. 
METHODS: The study involved 744 sputum samples collected from 372 TB suspects from four periphery diagnostic centers in Northeastern, Tanzania. Twenty patients were diagnosed as having presumptively Nocardia infections based on microscopic, cultural characteristics and biomerieux ID 32C Yeast Identification system and confirmed using 16S rRNA and hsp65 gene specific primers for Nocardia species and sequencing. 
RESULTS: Biochemically, the majority of the isolates were N. asteroides (n = 8/20, 40%), N. brasiliensis (n = 4/20, 20%), N. farcinica (n = 3/20, 15%), N. nova (n = 1/20, 5%). Other aerobic actinomycetales included Streptomyces cyanescens (n = 2/20, 10%), Streptomyces griseus, Actinomadura madurae each (n = 1/20, 5%). Results of 16S rRNA and hsp65 sequencing were concordant in 15/17 (88. 2%) isolates and discordant in 2/17 (11.8%) isolates. Majority of the isolates belonged to N. cyriacigeorgica and N. farcinica, four (23.5%) each. 
CONCLUSIONS: Our findings suggest that Nocardia species may be an important cause of pulmonary nocardiosis that is underdiagnosed or ignored. This underscores needs to consider pulmonary nocardiosis as a differential diagnosis when there is a failure of anti-TB therapy and as a possible cause of human infections.
物种:链霉菌属将
ID: 28595598
坦桑尼亚东北部地区结核疑似病例中诺卡菌的分离、生化和分子鉴定;一个被遗忘或忽视的威胁?
文摘:
背景:肺部诺卡氏菌病在大多数临床和放射学表现上与肺结核相似。在坦桑尼亚，结核病是主要的公共卫生威胁之一，诺卡氏菌病作为人类疾病病因的临床影响仍不清楚。本研究的目的是利用生化和分子方法分离和鉴定从坦桑尼亚东北部地区结核疑似病例中回收的诺卡菌。
方法:该研究涉及来自坦桑尼亚东北部4个周边诊断中心372名结核疑似患者的744份痰样本。根据显微镜、培养特征和biomerieux ID 32C酵母鉴定系统，20例患者被确诊为诺卡菌感染，并使用16S rRNA和hsp65基因特异性引物对诺卡菌种类进行鉴定和测序。
结果:从生物化学上看，分离株以菊苣苣苔(n = 8/ 20,40%)、巴西苣苔(n = 4/ 20,20%)、褐飞虱(n = 3/ 20,15%)、新苣苔苣苔(n = 1/ 20,5%)为主。其他需氧放线菌包括青链霉菌(Streptomyces cyananescens, n = 2/ 20,10%)、灰链霉菌(Streptomyces griseus, Actinomadura madurae, n = 1/ 20,5%)。16S rRNA与hsp65测序结果一致(88 /17)。2/17株分离株不一致(11.8%)。分离株主要属于cyriacigeorgica和farcinica，各4株(23.5%)。
结论:我们的发现表明诺卡菌种类可能是肺部诺卡菌病的一个重要原因，但诊断不足或被忽视。这强调需要考虑在抗结核治疗失败时将肺部诺卡氏菌病作为一种鉴别诊断，并作为人类感染的一种可能原因。"
19648340,Actinomadura sputi,是,1,男,17-65,,,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,,https://pubmed.ncbi.nlm.nih.gov/19648340/,,,,"SPECIES:Actinomadura sputi
ID:19648340
TITLE:Actinomadura sputi sp. nov., isolated from the sputum of a patient with pulmonary infection.
ABSTRACT:The taxonomic position of an actinomycete, strain IMMIB L-889(T), isolated from the sputum of a 64-year-old man, was determined using a polyphasic taxonomic approach. The strain had chemical and morphological properties that were consistent with its classification in the genus Actinomadura. It formed a distinct phyletic line in the 16S rRNA gene tree of Actinomadura and was most closely related to the type strain of Actinomadura hallensis (98.4 % sequence similarity), but could be readily distinguished from the latter species using DNA-DNA relatedness and phenotypic data. The combined genotypic and phenotypic data indicate that strain IMMIB L-889(T) represents a novel species of the genus Actinomadura, for which the name Actinomadura sputi sp. nov. is proposed. The type strain is IMMIB L-889(T) =DSM 45233(T)=CCUG 56589(T). [corrected]"
16756228,Arcanobacterium haemolyticum,是,1,女,17-65,,,3：血及无菌体液（如脓胸液）,治愈,https://pubmed.ncbi.nlm.nih.gov/16756228/,,,,"SPECIES:Arcanobacterium haemolyticum
ID:16756228
TITLE:[Pharyngitis with necrotising pneumonia caused by Arcanobacterium haemolyticum].
ABSTRACT:A 20-year-old woman developed symptoms of pharyngitis followed by generalised skin rash and pulmonary infiltrates with cavitation. Arcanobacterium haemolyticum was identified in blood culture, which was susceptible to the antibiotics given. After initiating pathogen-directed therapy, the patient recovered completely. A. haemolyticum is a Gram-positive rod that can grow under aerobic and anaerobic conditions. The pathogen causes a characteristic haemolysis when cultured on human blood agar. A. haemolyticum causes pharyngitis and skin rash, particularly in adolescents. If the infection is not treated adequately, progression to more severe infections such as pneumonia, meningitis and sepsis can occur. The treatment of choice is a macrolide antibiotic."
16758672,Arcanobacterium haemolyticum,是,1,女,17-65,,肺结核,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,,https://pubmed.ncbi.nlm.nih.gov/16758672/,,,,"SPECIES:Arcanobacterium haemolyticum
ID:16758672
TITLE:Respiratory tract infection due to Arcanobacterium haemolyticum--a case report.
ABSTRACT:A case of respiratory tract infection due to Arcanobacterium haemolyticum is reported. A female of 26 years presented with cough with expectoration and fever off and on for a duration of six weeks. Mycobacterium tuberculosis and Arcanobacterium haemolyticum were isolated. Arcanobacterium haemolyticum was isolated on three separate occasions."
18812563,Arcanobacterium haemolyticum,是,1,男,17-65,,,3：血及无菌体液（如脓胸液）,治愈,https://pubmed.ncbi.nlm.nih.gov/18812563/,,,,"SPECIES:Arcanobacterium haemolyticum
ID:18812563
TITLE:Severe sepsis caused by Arcanobacterium haemolyticum: a case report and review of the literature.
ABSTRACT:
OBJECTIVE: To describe a case of severe sepsis, cavitary pneumonia, and pyomyositis caused by Arcanobacterium haemolyticum. CASE SUMMARY: An 18-year-old male with a medical history significant for mild asthma presented to the emergency department complaining of a 7-day history of fever, diffuse myalgias, nausea, vomiting, diarrhea, and pain in his right upper quadrant, right shoulder, and left thigh. Cultures of blood, bronchoalveolar fluid, and surface and surgical swabs from the patient's left lower extremity grew A. haemolyticum. The patient was successfully treated with intravenous penicillin G 4 million units every 4 hours and azithromycin 500 mg once daily for 14 days. Within 36 hours after initiation of focused therapy, he became afebrile, pain decreased, and pulmonary symptoms abated. Oral azithromycin 500 mg/day for an additional 3 weeks was prescribed on discharge, and the patient showed no relapse at 2-month follow-up. DISCUSSION: A. haemolyticum is a weakly acid-fast, branching gram-positive bacillus most commonly implicated in pharyngitis in healthy adolescents and skin and soft-tissue infections in older, immunocompromised patients. Systemic infections are rarely reported in the literature. This organism remains susceptible to most classes of antimicrobials, including penicillins, cephalosporins, carbapenems, macrolides, tetracyclines, clindamycin, and vancomycin. Routine resistance has been reported only with trimethoprim/sulfamethoxazole. 
CONCLUSIONS: To our knowledge, there are no published case reports of severe sepsis caused by A. haemolyticum. While treatment options are numerous, we recommend the use of intravenous penicillin or a cephalosporin as first-line pharmacologic management of deep-seated infections caused by this rare organism."
27293852,Arthrobacter,是,10-100,,,,细菌性肺炎,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,,https://pubmed.ncbi.nlm.nih.gov/27293852/,,,,"SPECIES:Arthrobacter
ID:27293852
TITLE:Mycoplasma pneumoniae and Streptococcus pneumoniae caused different microbial structure and correlation network in lung microbiota.
ABSTRACT:Pneumonia is one of the most serious diseases for children, with which lung microbiota are proved to be associated. We performed 16S rDNA analysis on broncho-alveolar lavage fluid (BALF) for 32 children with tracheomalacia (C group), pneumonia infected with Streptococcus pneumoniae (S. pneumoniae) (D1 group) or Mycoplasma pneumoniae (M. pneumoniae) (D2 group). Children with tracheomalacia held lower microbial diversity and accumulated Lactococcus (mean +- SD, 45.21%+-5.07%, P value &lt;0.05), Porphyromonas (0.12%+-0.31%, P value &lt;0.05). D1 and D2 group were enriched by Streptococcus (7.57%+-11.61%, P value &lt;0.01 when compared with D2 group) and Mycoplasma (0.67%+-1.25%, P value &lt;0.01) respectively. Bacterial correlation in C group was mainly intermediated by Pseudomonas and Arthrobacter. Whilst, D1 group harbored simplest microbial correlation in three groups, and D2 group held the most complicated network, involving enriched Staphylococcus (0.26%+-0.71%), Massilia (0.81%+-2.42%). This will be of significance for understanding pneumonia incidence and progression more comprehensively, and discerning between bacterial infection and carriage. 
物种:节细菌属
ID: 27293852
题目:肺炎支原体和肺炎链球菌在肺微生物区系中引起不同的微生物结构和相关网络。
摘要:肺炎是儿童最严重的疾病之一，肺部微生物群被证实与肺炎有关。对32例气管软化症(C组)、肺炎链球菌感染(d组)和肺炎支原体感染(d组)患儿行支气管肺泡灌洗液(BALF) 16S rDNA分析。气管软化症患儿微生物多样性较低，积累的乳球菌(平均值+- SD, 45.21%+-5.07%， P值0.05)、卟啉单胞菌(0.12%+-0.31%，P值0.05)较少。D1和D2组分别富集链球菌(与D2组比较，P值&lt;0.01)和支原体(0.67%+-1.25%，P值&lt;0.01)。C组细菌相关性主要由假单胞菌和节杆菌介导。D1组3组微生物相关性最简单，D2组网络最复杂，包括富集葡萄球菌(0.26%+-0.71%)、马尾草(0.81%+-2.42%)。这对于更全面地了解肺炎的发生率和进展，以及区分细菌感染和携带有重要意义。"
22938828,Corynebacterium accolens,是,10-100,,,,,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,,https://pubmed.ncbi.nlm.nih.gov/22938828/,,,,"SPECIES:Corynebacterium accolens
ID:22938828
TITLE:Microbiological investigation and clinical significance of Corynebacterium spp. in respiratory specimens.
ABSTRACT:The purpose of this retrospective study was to evaluate the pathogenic role of Corynebacterium species in lower respiratory tract infections as well as their routine laboratory investigation. From April 2007 to August 2009, 27 clinical isolates were significantly recovered from respiratory specimens of 27 different patients clinically suspected of having lower respiratory tract infections. The average age of patients was 65 years, while 22 (81%) patients presented at least 1 predisposing condition. Of the 27 patients, 15 (56%) were classified as infected according to Centers for Disease Control and Prevention/National Healthcare Safety Network criteria, with 93% of infections being hospital acquired. All isolates were accurately identified to the species level using molecular methods (i.e., 17 Corynebacterium pseudodiphtheriticum, 7 Corynebacterium striatum, and 3 Corynebacterium accolens), whereas phenotypic methods remained frequently unreliable for identifying C. striatum and C. accolens strains. All tested isolates were susceptible to amoxicillin, imipenem, vancomycin, linezolid, and tigecycline, whereas most of them were resistant to erythromycin."
15108836,Corynebacterium afermentans,是,1,,,受损,,,治愈,https://pubmed.ncbi.nlm.nih.gov/15108836/,Necrotizing pleuropulmonary infection in a patient with acquired immunodeficiency syndrome developed due to Corynebacterium afermentans subspecies lipophilum.,230.0,acquired immunodeficiency syndrome,"SPECIES:Corynebacterium afermentans
ID:15108836
TITLE:Corynebacterium afermentans lung abscess and empyema in a patient with human immunodeficiency virus infection.
ABSTRACT:Necrotizing pleuropulmonary infection in a patient with acquired immunodeficiency syndrome developed due to Corynebacterium afermentans subspecies lipophilum. Long-term combination antibiotic therapy was successful in eradicating the infection without surgery."
